content,sentiment
服装零售零售链链SEP+L+L+++的销售额增长8%，至155.2欧元，经营盈利增长31.1亿欧元，从2004欧洲17.1MN增长到2004年的,2
2010年第二季度，Contera的净销售从去年同期的欧盟76M增至1.31亿欧元，而欧盟700万增加到了2010年的零税前利润，而欧盟7年的税,2
据《每日邮报》报道，国际电子工业公司Elkichares已经从其塔利班机构中解除了数以十计的雇员，而此前公司收到了办公室职员的裁员。,1
在2010年第三季度，净销售额增长了5.2%，至206.5亿欧元，营业利润增长了34.9%，至23.5欧元。,2
根据Glog，公司没有计划将所有的生产转移到俄罗斯，虽然这是公司正在不断增长的地方。,0
随着新生产厂的兴起，公司将增加其能力以满足预期增长需求，并将提高原材料的使用，从而提高生产利润率。,2
,1
在2006年，Foderse部门报告，其销售额从2006年的9.7%增长到了63.1MN，2006年的Eur67.5m，机器零售额增长了16.4,2
ASPOCOMP的增长正在积极追求其增长战略，通过越来越多地关注技术需求更高的HDI印刷电路板PCB。,2
生命树于2000年成立，其收入平均增长了40%，30岁以后的利润增长了40%。,2
"""Neward称,股价收盘高于预期,诺基亚则在诺基亚宣布计划与3G手机生产3G,并且诺基亚四季度盈利报告分析师预期的轮胎销售后,而该公司股价上涨",2
印加公司的印加P合同制造服务PVT（PVT）有限公司，是芬兰印加PVP公司的子公司，计划到2007-2008年，它的收入增长了两倍。,2
,0
2007年，2007年，营业利润从欧盟8.7MN增长到欧元兑换期间的欧盟13.1M，占了总销售净额的7.7%。,2
该声明称，技术企业计划在一个不到10000平方米的区域开发，以便主办公司的电脑技术和电信业务，这个声明说。,0
"""斯托尔.恩索,和诺斯克.斯科格,M---Ray,KYM-My-MymamineRisedCranseion,CFSB(CFSB)在4大亚洲林业",2
2007年，经营利润总额达21.1美元，比2007年的18.6MN增加，占净销售额的9.7%。,2
"""在芬兰的哈密尼航空航空公司(Haminatina)的7,200吨汽油购买协议于今年9月份平均普通指数为8.0美元,每月均订单8美元.""",2
其董事会将提议2010年每股股息的欧洲R0.12欧元，比2009年每股收入的欧洲R0.08欧元增加了2010年的2009年的120亿欧元。,2
芬兰人才报告其2004年的营业利润增长到20.5亿欧元，比2004年的净利润增加了2004年，而2004年的净利润增加了9.3亿欧元，而欧元的净,2
TeliasoneraTlen说，该提议符合其在核心业务中所有权的策略，并将加强Eetisetecom的提供给客户提供给其提供的。,2
与去年同期的一年损失相比，净售额增长16%，达到欧元兑欧元74.8米，而运营利润增加到了欧元兑欧元0.7米。,2
根据2009-2012年公司的更新战略，巴斯特的净销售增长率在20%-40%的范围内，营业利润率为10%至20%的净销售额为10%-20%。,2
